rank,term,pval,zscore,combined_score,genes,adj_pval,old_pval,old_adj_pval,group
158,Glycosphingolipid biosynthesis,0.31071849114810757,1.8172223778836276,2.12409299530693,"['B3GNT5', 'GCNT2']",0.5216168713811928,0,0,downregulated
159,Retrograde endocannabinoid signaling,0.3117935434195852,1.3673094582185492,1.5934816259799147,"['GABRB1', 'ADCY9', 'CNR1', 'GABRA4', 'CACNA1B']",0.5216168713811928,0,0,downregulated
160,Type II diabetes mellitus,0.3199619156443703,1.7758305951077036,2.0236536217904133,"['ABCC8', 'CACNA1B']",0.5319366847587657,0,0,downregulated
161,Pyruvate metabolism,0.32917493125894143,1.7362784471218207,1.9292935137185734,"['ALDH2', 'ADH1B']",0.5438542342539032,0,0,downregulated
162,Oxytocin signaling pathway,0.3413672638524862,1.311843264863399,1.409964367505006,"['CDKN1A', 'ADCY9', 'CACNA2D2', 'FOS', 'EGFR']",0.5605166184244527,0,0,downregulated
163,Ether lipid metabolism,0.3474929610282407,1.6622233615312314,1.7569881618659673,"['GDPD3', 'ENPP6']",0.5670744026595829,0,0,downregulated
164,Primary bile acid biosynthesis,0.3498657220916832,2.440380761523046,2.5629021502175746,['CH25H'],0.5674651346121203,0,0,downregulated
165,Arginine and proline metabolism,0.3565901556321914,1.6275100401606426,1.678236566248315,"['ARG2', 'ALDH2']",0.5714035023985717,0,0,downregulated
166,Malaria,0.3565901556321914,1.6275100401606426,1.678236566248315,"['CXCL8', 'CCL2']",0.5714035023985717,0,0,downregulated
167,Necroptosis,0.3661646145834816,1.2689229961957236,1.274851759826195,"['CASP8', 'CHMP4C', 'BCL2', 'FAS', 'BIRC3']",0.5832322603545276,0,0,downregulated
168,Prion disease,0.37467908912698017,1.1802423684614205,1.1586266799973701,"['EGR1', 'CREB3', 'C7', 'CAV2', 'CREB3L1', 'EIF2AK3', 'CACNA1B', 'ATF4']",0.5932418911177185,0,0,downregulated
169,Gap junction,0.3780598863986252,1.3787430465143804,1.3411070374667238,"['GJA1', 'ADCY9', 'EGFR']",0.5950528389469486,0,0,downregulated
170,Autoimmune thyroid disease,0.38359202335177106,1.5315379163713678,1.4674824616101554,"['FAS', 'CGA']",0.5986638294012425,0,0,downregulated
171,PD-L1 expression and PD-1 checkpoint pathway in cancer,0.38485531890079877,1.362640962051378,1.3011692445953398,"['ALK', 'FOS', 'EGFR']",0.5986638294012425,0,0,downregulated
172,Osteoclast differentiation,0.3925027195065659,1.270456333595594,1.1881457712120669,"['FHL2', 'FOSB', 'FOS', 'FOSL2']",0.6070100197020147,0,0,downregulated
173,Steroid biosynthesis,0.39745862307532415,2.0547410610695076,1.895836517027884,['CEL'],0.6100070867831683,0,0,downregulated
174,Wnt signaling pathway,0.40090416687703195,1.2133132567915177,1.10900819295278,"['FZD5', 'BAMBI', 'CTNND2', 'FZD7', 'DKK2']",0.6100070867831683,0,0,downregulated
175,Regulation of lipolysis in adipocytes,0.40132045183103177,1.4735924831401075,1.3453826267076294,"['ADCY9', 'CGA']",0.6100070867831683,0,0,downregulated
176,Hedgehog signaling pathway,0.41009437639646396,1.4462293618920126,1.2891225151915404,"['BCL2', 'GAS1']",0.6198017279628376,0,0,downregulated
177,Histidine metabolism,0.42723918724304594,1.858860578299456,1.5807959760459909,['ALDH2'],0.6417403043270323,0,0,downregulated
178,Influenza A,0.4305215529538391,1.1693582531905886,0.9854858957900031,"['CXCL10', 'CXCL8', 'CASP8', 'CCL2', 'FAS']",0.6417403043270323,0,0,downregulated
179,Dilated cardiomyopathy,0.43184779877646157,1.259622249626793,1.0576822185685801,"['ADCY9', 'CACNA2D2', 'AGT']",0.6417403043270323,0,0,downregulated
180,Circadian entrainment,0.4384603644337263,1.2461577978509355,1.0274394839458285,"['ADCYAP1', 'ADCY9', 'FOS']",0.6426391457983676,0,0,downregulated
181,Mannose type O-glycan biosynthesis,0.4415739476417069,1.7742758243760248,1.4503104132783096,['B3GALNT2'],0.6426391457983676,0,0,downregulated
182,Renin-angiotensin system,0.4415739476417069,1.7742758243760248,1.4503104132783096,['AGT'],0.6426391457983676,0,0,downregulated
183,Alzheimer disease,0.4428229011805986,1.0881132397248594,0.8863611156116358,"['ERN1', 'BACE2', 'CASP7', 'CASP8', 'FZD5', 'FZD7', 'EIF2AK3', 'FAS', 'DKK2', 'ATF4']",0.6426391457983676,0,0,downregulated
184,Mineral absorption,0.4445323414545099,1.3462124359506993,1.0914181299737917,"['CYBRD1', 'ATP1B3']",0.6426391457983676,0,0,downregulated
185,Progesterone-mediated oocyte maturation,0.4581166423834544,1.2074301478976954,0.9425579466437325,"['CCNA1', 'ADCY9', 'CDC25B']",0.658697442562156,0,0,downregulated
186,Regulation of actin cytoskeleton,0.46387477843032393,1.1050339928194943,0.8488215154284057,"['FGF9', 'CXCR4', 'EZR', 'FGF1', 'FGFR3', 'EGFR']",0.6633908121637966,0,0,downregulated
187,Signaling pathways regulating pluripotency of stem cells,0.48143836004449936,1.1232884660013924,0.8210981144070161,"['FZD5', 'FZD7', 'BMPR1B', 'FGFR3']",0.6809836357815368,0,0,downregulated
188,Folate biosynthesis,0.4824653272482855,1.5611222444889779,1.1378180490556857,['AKR1C3'],0.6809836357815368,0,0,downregulated
189,C-type lectin receptor signaling pathway,0.4838567938447761,1.1593720740283284,0.8416650508858647,"['EGR2', 'EGR3', 'CASP8']",0.6809836357815368,0,0,downregulated
190,Alcoholism,0.4981933861356625,1.0781293598973156,0.7512049077015521,"['CREB3', 'BDNF', 'CREB3L1', 'FOSB', 'ATF4']",0.6950974426959736,0,0,downregulated
191,Huntington disease,0.4991113216350788,1.0477437660282642,0.7281045086786567,"['ERN1', 'CREB3', 'CASP8', 'BDNF', 'CREB3L1', 'DNAH5', 'CLTCL1', 'CACNA1B']",0.6950974426959736,0,0,downregulated
192,Renal cell carcinoma,0.5176757123539347,1.1648384583108553,0.7669369452962204,"['FLCN', 'CDKN1A']",0.7171965598236805,0,0,downregulated
193,Ascorbate and aldarate metabolism,0.5323761135569396,1.3455186234538041,0.8482217472890334,['ALDH2'],0.720341844835007,0,0,downregulated
194,Glyoxylate and dicarboxylate metabolism,0.5323761135569396,1.3455186234538041,0.8482217472890334,['CAT'],0.720341844835007,0,0,downregulated
195,beta-Alanine metabolism,0.5323761135569396,1.3455186234538041,0.8482217472890334,['ALDH2'],0.720341844835007,0,0,downregulated
196,Adherens junction,0.533041249161984,1.1309586170770036,0.7115499281407862,"['ERBB2', 'EGFR']",0.720341844835007,0,0,downregulated
197,Toxoplasmosis,0.5334862535056254,1.0738375205360604,0.6747157119440558,"['CASP8', 'BCL2', 'BIRC3']",0.720341844835007,0,0,downregulated
198,Serotonergic synapse,0.5394997735140855,1.064020486555698,0.6566207831110235,"['GABRB1', 'DUSP1', 'CACNA1B']",0.7247825240138724,0,0,downregulated
199,Circadian rhythm,0.5440842429149877,1.3006012024048097,0.7916124641172642,['BHLHE40'],0.7272683850019434,0,0,downregulated
200,PPAR signaling pathway,0.5554545611303542,1.0836680053547523,0.6371626206062386,"['ACSL1', 'FABP7']",0.7387545663033711,0,0,downregulated
201,Amyotrophic lateral sclerosis,0.5605667745937202,0.988525859843378,0.5721655979852527,"['ERN1', 'GABARAPL1', 'DNAH5', 'CAT', 'EIF2AK3', 'BCL2', 'ANXA11', 'ANG', 'ATF4']",0.7418445872732814,0,0,downregulated
202,Neurotrophin signaling pathway,0.5746232085417885,1.0086727260112398,0.5588457860318637,"['BDNF', 'BCL2', 'ATF4']",0.7566820468916621,0,0,downregulated
203,Propanoate metabolism,0.5774822066735724,1.1821825469120057,0.6491100123836642,['ACSS3'],0.7567008225377845,0,0,downregulated
204,Thyroid hormone signaling pathway,0.5859537465440404,0.9914742693448828,0.5299572973279341,"['ATP1B3', 'ESR1', 'FOXO1']",0.764037728336837,0,0,downregulated
