gene,log2FC,padj
ABHD6,-0.718416984126983,0.0008082359558036896
ABHD8,0.2193443650793654,0.1056613641983624
ABI1,-0.16983444444444373,0.37166391787149844
ABI2,0.14881346938775586,0.18546568287235488
ABI3,0.17872087301587358,0.39173903327516885
ABI3BP,-0.9004898941798936,0.0021079634956511105
ABL1,-0.43606880952381033,0.008145061058505907
ABL2,0.09570630687830572,0.5164062098137299
ABLIM1,0.5728617460317462,0.012848276775499535
ABLIM2,0.6584839947089947,0.045212171962533416
ABLIM3,1.3288983333333322,0.0009170557265603787
ABR,0.03600206349206392,0.8909926729173933
ABRA,0.17277103174603115,0.05137119017527451
ABRACL,-1.250502222222221,0.036976994856468035
ABT1,0.5930159523809522,0.0005401193252472819
ABTB1,0.43389182539682514,0.004603406627355523
ABTB2,-0.3576330952380946,0.021839364499902713
AC002059.10,-0.08927039682539695,0.5431582786630788
AC002310.12 /// AK056973,-0.20256111111111075,0.05865177256337177
AC004538.3 /// BC040327,0.3178581746031748,0.31702839224508705
AC004692.5,-0.1881649206349203,0.04500099243791403
AC004941.5,0.014091111111111054,0.9002729872008908
AC004951.6 /// AX747182,-0.5293625396825394,0.19356641123246743
AC005224.2,0.8991716666666671,0.0033997191034957344
AC005306.3,-0.6984001587301583,0.004346315758392923
AC005498.3,-0.10579007936508011,0.7120616991913016
AC005523.2,0.5074444444444444,0.026785231125291686
AC005592.3,-0.0294499206349208,0.6227358558584234
AC005785.2,0.11047158730158646,6.240921497570171e-05
AC006026.13,0.07947174603174556,0.6806369399353386
AC006538.1,0.2292148412698407,0.10488149607021215
AC007228.11 /// BX647249,0.6195800793650794,0.0009062147127291591
AC007255.8 /// BC038570,0.0019049999999998235,0.9771008845474132
AC007292.3,-0.5454861111111113,0.07429177539705911
AC007362.3,0.053245238095237735,0.06882996925957674
AC007364.1 /// FLJ32955,0.08898420634920656,0.09114246703317141
AC007365.3,-0.023317619047618976,0.7951862404690592
AC008088.4,0.0523508730158726,0.09699398870749672
AC008746.12,0.10047603174603159,0.7178980988291864
AC009120.6,-0.49634190476190465,0.10768856815454864
AC009133.15,0.025651111111110847,0.3428310425468782
AC009237.8 /// AK055967,-0.05520698412698355,0.8948107765762416
AC009502.4,0.06723380952380942,0.04710216200254903
AC009947.3 /// RBMY2AP /// RBMY2AP /// RBMY2BP /// RBMY2BP /// RBMY2DP /// RBMY2DP,0.06186571428571419,0.30666983194321434
AC010524.4,0.12137150793650786,0.28203640731172
AC010980.2 /// LOC440934 /// LOC440934,-0.013321349206349975,0.8864572508659957
AC012065.7,2.0435151587301585,0.012525209428427247
AC012360.6,0.05797611111111056,0.038678604010500925
AC012499.1,0.038094920634919927,0.24120429191424553
AC013463.2,0.5745192857142858,0.024532979109719723
AC016831.7,-0.0467125396825403,0.2981793575354402
AC018462.2 /// BC071802,0.06235134920634877,0.7867960117696293
AC018755.16,0.43482920634920763,0.00043892174610869603
AC024560.2,0.11951960317460308,0.7894570131722966
AC068039.4,0.26560928571428555,0.40223010348846994
AC068138.1,0.040405476190476186,0.21340572266254446
AC073321.4,0.04743563492063485,0.20445777486812308
AC079305.10,-0.0292895238095241,0.7244710609000411
AC079767.4,0.13378547619047643,0.00529771077585436
AC083843.1,-1.4599536507936524,0.0013170586097340745
AC083949.1,0.0523963492063495,0.1504098384257856
AC087501.1,0.05279174603174619,0.6065791666654723
AC090627.1,-0.21347103174603133,0.1030136759600969
AC091133.1,-0.41199087301587145,0.0041338607771399406
AC091633.3,0.14120873015873014,0.04889948295772764
AC092192.1,-0.06285214285714247,0.5426293399943831
AC092620.2,1.0732712698412694,0.015213400924671706
AC092660.1,-0.19881484126984184,0.17333692665212935
AC092667.2,0.5626815873015869,0.017725612815408492
AC099850.1 /// BC017255,0.08120119047619045,0.4628822119283656
AC100830.4,0.4725537301587299,0.01019020948959575
AC112198.1,0.0006119841269836002,0.9952645637501419
AC114752.3,0.05449238095238096,0.02507065056373606
AC124997.1,0.09729285714285751,0.22761711996359568
AC128677.4 /// CH17-132F21.1 /// IGKV1OR-1 /// IGKV1OR-1 /// IGKV1OR10-1 /// IGKV1OR10-1 /// IGKV1OR2-2,-0.7437226190476194,0.0003542679347414449
AC136289.1,0.13890547619047622,0.3108876099804155
AC139100.2 /// PARD6G-AS1,-1.0700340476190475,0.08198366026510565
AC144652.1,0.5506660317460321,0.014215034435206067
AC145343.2,0.1302821428571428,0.4411604662510182
ACAA1,-0.6362269444444433,4.4362879935542745e-05
ACAA2,-0.18867751322751314,0.3576930191140413
ACACA,0.6557371428571424,9.654001897304878e-06
ACACB,-0.46918674603174537,0.004657771856058842
ACAD10,-0.237228571428572,0.09506371903029487
ACAD11 /// NPHP3 /// NPHP3-ACAD11,-0.4487126984126988,0.02254603847260822
ACAD8,0.21170111111110934,0.0824397896563094
ACAD9,-0.005050476190477049,0.9790017136649497
ACADL,0.18454976190476158,0.7951862404690592
ACADM,-0.007184047619047007,0.9717649555071843
ACADS,-0.0637022222222221,0.19750121962504563
ACADSB,0.4812828174603192,0.01046574609945228
ACADVL,-0.7833039682539695,5.637736855390596e-06
ACAP1,0.37522706349206336,0.02017371621672839
ACAP2,0.2712513227513229,0.037667825953533775
